Category,Name,Neighborhood,Vicinity,Off-route (mi),Miles to finish
park,Roger Miller Gardens,New York,"771 West End Avenue, New York",0.23,77.88
park,Happy Warrior Playground,New York,"Amsterdam Ave &, 779 West 97th Street, New York",0.45,77.83
restaurant,7-Eleven,New York,"801 Amsterdam Avenue, New York",0.43,77.74
water,Water fountain,New York,"Q2RV+JR, New York",1.18,77.74
restaurant,Flor de Mayo Restaurant,New York,"2651 Broadway, New York",0.31,77.72
bike_shop,Broadway Javi's Bike Shop,New York,"850 Amsterdam Avenue, New York",0.4,77.68
park,102nd Street Field House,New York,"Riverside Park, West 101st Street, New York",0.06,77.63
water,Burnett Fountain,New York,"E 105th St &, 5th Ave, New York",1.25,77.59
park,West 104th Street Garden,New York,"8 West 104th Street, New York",0.7,77.58
restaurant,Cafe du Soleil,New York,"2723 Broadway, New York",0.31,77.54
park,Bloomingdale Playground,New York,"Amsterdam Ave &, West 104th Street, New York",0.45,77.54
park,Central Park Conservatory Fountain,New York,"Central Pk N, New York",1.23,77.54
bike_shop,Fly E-Bike Columbus Ave,New York,"913 Columbus Avenue, New York",0.6,77.53
park,La Perla Garden,New York,"76 West 105th Street, New York",0.61,77.53
restaurant,Plowshares Coffee Bloomingdale,New York,"2730 Broadway, New York",0.34,77.52
park,Great Hill,New York,"Great Hill, New York",0.85,77.51
water,Untermyer Fountain,New York,"East side at, E 105th St, New York",1.26,77.5
restaurant,Smoke Jazz & Supper Club,New York,"2751 Broadway, New York",0.28,77.48
park,Monkey Rings Riverside,New York,"3 Hudson River Greenway, New York",0.05,77.47
park,105th Street Dog Run,New York,"Riverside Dr &, West 105th Street, New York",0.09,77.46
bike_shop,Innovation Bike Shop,New York,"105 West 106th Street, New York",0.57,77.4
restaurant,Awash Ethiopian Restaurant,New York,"947 Amsterdam Avenue, New York",0.43,77.4
park,Straus Park,New York,"West End Ave. &, West 107th Street, New York",0.26,77.4
restaurant,Thai Market,New York,"960 Amsterdam Avenue, New York",0.41,77.34
park,Booker T. Washington Playground,New York,"West 108th Street, New York",0.49,77.34
park,North Woods,New York,"296 Central Park North, New York",0.94,77.34
park,New York City Park,New York,"244 West 109th Street, New York",0.3,77.31
water,Public Drinking Water Fountains with bottle refill,New York,"34 Central Pk N, New York",1.18,77.29
park,Парковка,New York,"504 West 110th Street #500, New York",0.36,77.25
bike_shop,Larry's Freewheeling,New York,"301 Cathedral Parkway, New York",0.7,77.22
cafe,Cafe Amrita,New York,"301 West 110th Street, New York",0.71,77.22
restaurant,Chipotle Mexican Grill,New York,"2843 Broadway, New York",0.23,77.22
restaurant,The Hungarian Pastry Shop,New York,"1030 Amsterdam Avenue, New York",0.4,77.2
bike_shop,JS Cycle,New York,"1842 Adam Clayton Powell Junior Boulevard, New York",0.91,77.15
restaurant,Tom's Restaurant,New York,"2880 Broadway, New York",0.26,77.15
restaurant,Oren’s Coffee,New York,"2882 Broadway, New York",0.26,77.11
restaurant,Community Food & Juice,New York,"2893 Broadway, New York",0.23,77.11
restaurant,Le Monde,New York,"2885 Broadway, New York",0.23,77.11
restaurant,Atomic Wings,New York,"2090 Frederick Douglass Boulevard, New York",0.77,77.1
restaurant,Starbucks,New York,"2929 Broadway, New York",0.23,77.02
park,Morningside Waterfall,New York,"Morningside Pond, New York",0.6,77.02
cafe,Cafe East,New York,"2920 Broadway, New York",0.27,77.01
restaurant,Silvana,New York,"300 West 116th Street, New York",0.73,77.0
park,Friends of Morningside Park,New York,"14 Morningside Avenue #10, New York",0.62,77.0
restaurant,Nous Espresso,New York,"Philosophy Hall, 1150 Amsterdam Avenue, New York",0.41,76.95
park,Morningside Park,New York,"Morningside Drive, New York",0.56,76.95
water,Woman's Health Protective Association Fountain,New York,"W. 116th Street &, Riverside Dr, New York",0.12,76.95
park,Riverside Park,New York,"R25M+R3, New York",0.04,76.94
restaurant,Starbucks,New York,"2195 Frederick Douglass Boulevard, New York",0.75,76.89
restaurant,Joe Coffee Company: Northwest Corner,New York,"550 West 120th Street, New York",0.28,76.77
park,Riverside Park Conservancy,New York,"475 Riverside Drive Suite #455, New York",0.17,76.77
restaurant,Massawa,New York,"1239 Amsterdam Avenue, New York",0.44,76.65
restaurant,Nikko Hibachi Asian Fusion,New York,"1280 Amsterdam Avenue, New York",0.42,76.61
park,General Grant National Memorial,New York,"W 122nd St &, Riverside Drive, New York",0.12,76.61
park,Sakura Park,New York,"3916, 500 Riverside Drive, New York",0.17,76.61
restaurant,Max Soha,New York,"1274 Amsterdam Avenue, New York",0.4,76.61
park,Playground One Twenty Five CXXV,New York,"Morningside Ave., W. 123 St. and W. 124 St., New York",0.57,76.61
park,Hancock Park,New York,"261-267 Saint Nicholas Avenue, New York",0.69,76.61
restaurant,McDonald's,New York,"354 West 125th Street, New York",0.67,76.52
park,Roosevelt Triangle,New York,"W 125th St &, Morningside Avenue, New York",0.59,76.52
restaurant,Pisticci,New York,"125 La Salle Street, New York",0.22,76.46
restaurant,Kuro Kuma,New York,"121 La Salle Street, New York",0.24,76.46
restaurant,Domino's Pizza,New York,"409 West 125th Street, New York",0.57,76.44
restaurant,Popeyes Louisiana Kitchen,New York,"313 West 125th Street, New York",0.72,76.42
restaurant,The Craftsman,New York,"3155 Broadway, New York",0.24,76.4
restaurant,Trufa Pizzeria,New York,"3161 Broadway, New York",0.25,76.39
restaurant,Toast 125,New York,"3157 Broadway, New York",0.24,76.39
restaurant,Starbucks,New York,"3165 Broadway, New York",0.24,76.35
restaurant,Dunkin',New York,"1342 Amsterdam Avenue, New York",0.42,76.33
restaurant,Maison Harlem,New York,"341 Saint Nicholas Avenue, New York",0.67,76.25
restaurant,Dinosaur Bar-B-Que,New York,"700 West 125th Street, New York",0.04,76.24
restaurant,Harlem Bar-B-Q,New York,"2367 Frederick Douglass Boulevard, New York",0.74,76.23
park,St. Nicholas Playground South,New York,"St. Nicholas Playground South, West 128th Street, New York",0.9,76.22
park,Pablo’s Park,New York,"630 W 131st St, New York",0.12,76.19
park,Langston Hughes Playground,New York,"W/s 7 Ave. at W. 130 St., New York",0.87,76.17
park,West Harlem Piers,New York,"Marginal St. &, West 132nd Street, New York",0.03,76.17
restaurant,Panda Harlem,New York,"2331 12th Avenue, New York",0.06,76.09
park,Kayak & Canoe Launch,New York,"Hudson River Greenway, New York",,76.07
bike_shop,Bolt Bike Shop,New York,"2478A Frederick Douglass Boulevard, New York",0.73,75.95
restaurant,PROOF Coffee Roasters,New York,"2286 Adam Clayton Powell Junior Boulevard, New York",0.86,75.95
restaurant,Bus Stop Diner,New York,"3341 Broadway, New York",0.18,75.95
restaurant,Shrine,New York,"2271 Adam Clayton Powell Junior Boulevard, New York",0.9,75.95
park,St. Nicholas Park,New York,"St Nicholas Ave &, Saint Nicholas Terrace, New York",0.57,75.95
park,Annunciation Playground,New York,"W 135th St &, Convent Avenue, New York",0.39,75.95
park,Riverbank State Park Tennis Courts 🎾,New York,"679 Riverside Drive, New York",0.07,75.84
bike_shop,Javis Bike Shop,New York,"2533 Frederick Douglass Boulevard #10030, New York",0.69,75.83
cafe,Cafe 22,New York,"2309 Adam Clayton Powell Junior Boulevard, New York",0.89,75.8
water,Public Drinking Water Fountains with bottle refill,New York,"Amsterdam Ave. &, W 136th St, New York",0.27,75.8
park,Riverside Valley Community Garden,New York,"699 West 138th Street, New York",0.03,75.8
park,Janny’s garden,New York,"699 West 138th Street, New York",0.03,75.8
restaurant,Subway,New York,"600 West 139th Street Building, New York",0.16,75.76
bike_shop,Talent Cycles,New York,"502 West 139th Street, New York",0.32,75.73
park,State Park Police,New York,"679 Riverside Drive, New York",0.11,75.67
restaurant,Cafe One,New York,"1619 Amsterdam Avenue, New York",0.35,75.66
park,Alexander Hamilton Playground,New York,"Hamilton Place &, West 141st Street, New York",0.24,75.65
park,Riverbank State Park,New York,"679 Riverside Drive, New York",0.1,75.62
restaurant,McDonald's,New York,"2379 Adam Clayton Powell Junior Boulevard, New York",0.86,75.61
restaurant,Londel's,New York,"2620 Frederick Douglass Boulevard, New York",0.68,75.61
restaurant,Mama Tina's Pizzeria,New York,"2649 Frederick Douglass Boulevard, New York",0.65,75.59
restaurant,Matto Espresso,New York,"3495 Broadway, New York",0.13,75.58
restaurant,Manhattanville Coffee,New York,"142 Edgecombe Avenue, New York",0.6,75.57
restaurant,Dunkin',New York,"3504 Broadway, New York",0.16,75.55
park,Johnny Hartman Plaza,New York,"Amsterdam Av, W 143 St and, Hamilton Place, New York",0.31,75.54
restaurant,Starbucks,New York,"301 West 145th Street, New York",0.6,75.48
restaurant,Sugar Hill Cafe,New York,"410 West 145th Street, New York",0.44,75.48
restaurant,Dunkin',New York,"356 West 145th Street, New York",0.5,75.48
restaurant,McDonald's,New York,"3543 Broadway, New York",0.13,75.48
restaurant,Caridad Restaurant,New York,"3533 Broadway, New York",0.13,75.48
restaurant,Jimbo's Hamburger Palace,New York,"528 West 145th Street, New York",0.22,75.48
park,Jackie Robinson Recreation Center,New York,"85 Bradhurst Avenue, New York",0.59,75.48
park,Donnellan Square,New York,"397 West 150th Street, New York",0.53,75.48
water,Drinking Water Fountain (Bottle Refill),New York,"269 W 150th St, New York",0.82,75.48
restaurant,Golden Wok,New York,"1770 Amsterdam Avenue #1, New York",0.33,75.48
restaurant,Subway,New York,"3551-3559 Broadway, New York",0.14,75.48
restaurant,Checkers,New York,"695 Saint Nicholas Avenue, New York",0.47,75.48
bike_shop,Fly E-Bike West Harlem,New York,"1784 Amsterdam Avenue, New York",0.35,75.47
restaurant,The Chipped Cup,New York,"3610 Broadway, New York",0.24,75.25
park,Ten Mile River Playground,New York,"Riverside Park, New York",0.01,75.25
restaurant,Harlem Public,New York,"3612 Broadway, New York",0.24,75.24
park,Convent Garden,New York,"Convent Ave &, Saint Nicholas Terrace, New York",0.51,75.12
water,Hooper Fountain,New York,"Edgecombe Ave, New York",0.59,75.04
park,Holcombe Rucker Park,New York,"280 West 155th Street, New York",0.81,75.04
park,William A. Harris Garden,New York,"West 153rd Street, New York",0.5,75.04
park,Brigadier General Charles Young Triangle,New York,"Macombs Pl. &, West 153rd Street, New York",0.87,75.04
restaurant,Dunkin',New York,"900 Saint Nicholas Avenue, New York",0.52,74.92
restaurant,El Gran Valle,New York,"1944 Amsterdam Avenue, New York",0.41,74.92
restaurant,Oriental Chinese Restaurant,New York,"3774 Broadway, New York",0.27,74.92
restaurant,New Luck Garden,New York,"1954 Amsterdam Avenue, New York",0.41,74.92
park,Wright Brothers Playground,New York,"St Nicholas Ave &, Manhattan Avenue, New York",0.47,74.92
restaurant,Blue Mountain Heights,New York,"499 West 158th Street, New York",0.46,74.89
park,Riverside Oval,New York,"779 Riverside Drive, New York",0.11,74.89
bike_shop,Amsterdam Bicycles & Repair shop (Flat fix) service.,New York,"1984 Amsterdam Avenue, New York",0.43,74.84
restaurant,Capy,New York,"3797 Broadway, New York",0.26,74.84
restaurant,Dunkin',New York,"1995 Amsterdam Avenue, New York",0.47,74.84
cafe,semicolon cafe,New York,"9 Edward M Morgan Place, New York",0.24,74.84
restaurant,Five Flies Coffee,New York,"554 West 158th Street, New York",0.31,74.84
restaurant,McDonald's,New York,"3809 Broadway, New York",0.27,74.75
restaurant,Dunkin',New York,"3830 Broadway, New York",0.31,74.75
park,Pedestrian Entrance to Fort Washington Park,New York,"694 West 158th Street, New York",0.02,74.75
cafe,Gogo Cafe,New York,"3860 Broadway, New York",0.33,74.64
park,Roger Morris Park,New York,"65 Jumel Terrace, New York",0.59,74.64
park,Riverside Drive Staircase,New York,"884 Riverside Drive, New York",0.1,74.64
park,Park,New York,"Hudson River Greenway, New York",0.01,74.63
water,Water fountain,New York,"Hudson River Greenway, New York",,74.58
park,Lily Brown Playground,New York,"915 Riverside Drive, New York",0.1,74.53
restaurant,Carrot Top Pastries,New York,"3931 Broadway, New York",0.3,74.44
restaurant,Wendy's,New York,"3939 Broadway, New York",0.31,74.42
restaurant,Jade House,New York,"2131 Amsterdam Avenue, New York",0.5,74.4
restaurant,D’Maritza's Cake,New York,"2153 Amsterdam Avenue, New York",0.52,74.39
restaurant,Dallas BBQ Washington Heights,New York,"3956 Broadway, New York",0.34,74.39
park,Mitchel Square,New York,"3975 Broadway, New York",0.35,74.37
restaurant,Starbucks,New York,"4001 Broadway, New York",0.33,74.32
restaurant,Chipotle Mexican Grill,New York,"4009 Broadway, New York",0.33,74.31
restaurant,Prestige Cafe and Deli,New York,"228 Fort Washington Avenue, New York",0.22,74.29
restaurant,Dunkin',New York,"4030 Broadway, New York",0.38,74.29
restaurant,McDonald's,New York,"4040 Broadway, New York",0.37,74.29
restaurant,Elsa La Reina Del Chicharron,New York,"1249 Saint Nicholas Avenue, New York",0.42,74.18
park,J. Hood Wright Park,New York,"W. 173 St &, Haven Avenue, New York",0.24,74.06
park,J. Hood Wright Park Dog Run,New York,"J, Hood Wright Park, New York",0.2,74.05
park,Fort Washington Park,New York,"Hudson River Greenway, New York",0.02,73.71
restaurant,Buunni Coffee - Pinehurst,New York,"213 Pinehurst Avenue, New York",0.27,73.34
restaurant,Kismat,New York,"603 Fort Washington Avenue, New York",0.3,73.34
park,Dvoskin Samuel MD,New York,"180 Cabrini Boulevard, New York",0.14,73.34
park,Sir William's Dog Run,New York,"Margaret Corbin Drive, New York",0.8,73.34
park,Chittenden Overlook,New York,"1-21 Chittenden Avenue, New York",0.23,73.34
park,The Paterno Trivium,New York,"Cabrini Boulevard, New York",0.27,73.34
water,Inwood Library,New York,"4790 Broadway, New York",1.22,73.34
park,Riverside Park,New York,"Riverside Drive, New York",,73.26
park,Plaza Lafayette,New York,"Plaza Lafayette &, Riverside Drive, New York",0.01,73.24
bike_shop,Manny's Bicycle,New York,"8 Bennett Avenue, New York",0.2,73.16
restaurant,Starbucks,New York,"803 West 181st Street, New York",0.1,73.16
restaurant,McDonald's,New York,"4259 Broadway, New York",0.24,73.16
restaurant,The Uptown Garrison,New York,"821 West 181st Street, New York",0.05,73.16
restaurant,Dunkin',New York,"398 Audubon Avenue, New York",0.49,73.16
restaurant,Dunkin',New York,"1599 Saint Nicholas Avenue, New York",0.6,73.16
restaurant,Dunkin',New York,"728 W 181st St, Magaw Place, New York",0.17,73.16
restaurant,Dunkin',New York,"Bp Gas Station, 4353 Broadway, New York",0.34,73.16
restaurant,Forever Coffee,New York,"714 West 181st Street, New York",0.21,73.16
restaurant,Chop Chop,New York,"501 West 184th Street, New York",0.56,73.16
restaurant,La Casa Del Mofongo,New York,"1447 Saint Nicholas Avenue, New York",0.38,73.16
restaurant,Le Chéile,New York,"839 West 181st Street, New York",0.02,73.16
restaurant,Saggio,New York,"827 West 181st Street, New York",0.04,73.16
restaurant,Hudson View,New York,"770 West 181st Street, New York",0.12,73.16
restaurant,Domino's Pizza,New York,"736 West 181st Street, New York",0.15,73.16
restaurant,Mi Ranchito,New York,"1468 Saint Nicholas Avenue, New York",0.42,73.16
park,Bennett Park,New York,"W 183rd St &, Fort Washington Avenue, New York",0.16,73.16
park,Highbridge Park,New York,"W 190th St &, Amsterdam Avenue, New York",0.78,73.16
park,Harlem River Park,New York,"E. 131 St., New York",0.76,73.16
park,Fort Washington Green Community Garden,New York,"Fort Washington Ave, West 181st Street, New York",0.13,73.16
restaurant,181 Cabrini,New York,"854 West 181st Street, New York",0.01,73.15
restaurant,Break Away Cafe,New York,"71 Cabrini Boulevard, New York",0.02,73.11
restaurant,Golden Star,New York,"4247 Broadway, New York",0.23,73.11
park,George Washington Bridge Park,New York,"Cabrini Boulevard, New York",0.01,73.11
bike_shop,Bike by Gato,New York,"2440 Amsterdam Avenue, New York",0.53,73.1
restaurant,Little Caesars Pizza,New York,"1332 Saint Nicholas Avenue, New York",0.38,73.09
bike_shop,Arrow Bikes Shop Inc.,New York,"4236 B Broadway, New York",0.24,73.09
restaurant,Dunkin',New York,"1406 Saint Nicholas Avenue, New York",0.37,73.09
restaurant,Dunkin',New York,"4199 Broadway, New York",0.2,73.09
restaurant,See Sharp Cafe,New York,"408 Fort Washington Avenue, New York",0.17,73.09
restaurant,Mar y tierra,New York,"657 West 179th Street, New York",0.25,73.09
park,Bridge Park,The Bronx,"Sedgwick Avenue, The Bronx",0.77,73.09
park,GWB North Sidewalk,New York,"180 Cabrini Boulevard, New York",,73.09
restaurant,Andiamo Cafe,New York,"1326 Saint Nicholas Avenue, New York",0.39,72.98
restaurant,Malecon Restaurant (175th Street),New York,"4141 Broadway, New York",0.28,72.98
restaurant,Manolo Tapas,New York,"4165 Broadway, New York",0.24,72.98
park,Plaza de las Americas,New York,"175th Street between Broadway Avenue and, Wadsworth Avenue, New York",0.31,72.98
restaurant,Papa Johns Pizza,New York,"4117 Broadway, New York",0.34,72.97
park,Haven Avenue,New York,"200 Haven Avenue, New York",0.06,72.94
park,Palasades scenic view,Fort Lee,"V22R+Q7, Fort Lee",0.08,72.03
bike_shop,Hudson Bikes,Fort Lee,"2147 Hudson Terrace, Fort Lee",0.04,71.76
bike_shop,Montecci Bikes,Fort Lee,"2147 Hudson Terrace, Fort Lee",0.04,71.76
restaurant,Starbucks,Fort Lee,"2160 Lemoine Avenue, Fort Lee",0.21,71.76
restaurant,Starbucks,Fort Lee,"Shopping Center, 136-38 Linwood Plaza, Fort Lee",0.6,71.76
restaurant,Chillers Grill,Fort Lee,"2191 Fletcher Avenue, Fort Lee",0.59,71.76
park,Biarritz,United States,United States,0.33,71.76
bike_shop,Strictly Bicycles,Fort Lee,"2347 Hudson Terrace, Fort Lee",0.46,71.75
restaurant,7-Eleven,Fort Lee,"2374 Lemoine Avenue, Fort Lee",0.55,71.75
restaurant,Fort Lee Pizzeria,Fort Lee,"2469 Lemoine Avenue, Fort Lee",0.69,71.75
park,Coytesville Park,Fort Lee,"2300 6th Street, Fort Lee",0.45,71.75
park,General Van Fleet Park,Fort Lee,"Myrtle Avenue, Fort Lee",0.58,71.75
park,Ross Dock Circle,Fort Lee,Fort Lee,0.26,71.75
park,Carpenter's Loop Fort Lee,Fort Lee,"V25R+8Q, Fort Lee",0.33,71.75
park,Observatory,Fort Lee,"V25R+F4, Fort Lee",0.3,71.75
park,"Linwood Park, Palisades Interstate Park",Fort Lee,Fort Lee,0.25,71.75
park,Northbridge Park,Fort Lee,Fort Lee,0.25,71.75
park,Ft. Lee Sledding Park,Fort Lee,"2229 Hudson Terrace, Fort Lee",0.25,71.75
park,Palisades Interstate Park Commission: Ross Dock Picnic Area,Fort Lee,"Henry Hudson Drive, Fort Lee",0.53,71.75
park,GWB North Sidewalk,Fort Lee,"Hudson Terrace, Fort Lee",,71.55
restaurant,McDonald's,Fort Lee,"2152 Lemoine Avenue, Fort Lee",0.2,71.53
cafe,Kung Fu Tea,Fort Lee,"2151 Lemoine Avenue, Fort Lee",0.24,71.53
cafe,Mochi Mochi Cafe,Fort Lee,"2175 Lemoine Avenue, Fort Lee",0.26,71.53
restaurant,Mochinut Washington Bridge Plaza,Fort Lee,"2151 Lemoine Avenue, Fort Lee",0.27,71.53
restaurant,Dong Bo Sung,Fort Lee,"2169 Lemoine Avenue, Fort Lee",0.25,71.53
park,Constitution Park,Fort Lee,"Fletcher Ave & Lewis Street, 2018 Fletcher Ave, Fort Lee",0.57,71.45
restaurant,Prime & Beyond,Fort Lee,"501 Main Street, Fort Lee",0.75,71.45
park,Fort Lee Bark Park,Fort Lee,"Linwood Ave, 436 N of Main St, Fort Lee",0.55,71.44
restaurant,The Village Fort Lee,Fort Lee,"2057 Hudson Street, Fort Lee",0.23,71.39
restaurant,Dunkin',Fort Lee,"2033 Lemoine Avenue, Fort Lee",0.28,71.38
park,Central Green,Fort Lee,"200 Park Avenue, Fort Lee",0.11,71.35
restaurant,Bean & Bean Fort Lee,Fort Lee,"189 Main Street, Fort Lee",0.27,71.34
restaurant,Paris Baguette,Fort Lee,"185 Main Street #8c, Fort Lee",0.25,71.33
restaurant,Picnic Sushi,Fort Lee,"239 Main Street, Fort Lee",0.39,71.33
restaurant,Gayeon,Fort Lee,"2020 Hudson Street, Fort Lee",0.23,71.33
restaurant,T-Swirl Crêpe,Fort Lee,"244 Main Street, Fort Lee",0.4,71.32
cafe,MOKAFÉ,Fort Lee,"223 Main Street, Fort Lee",0.35,71.31
park,Fort Lee Main Street Plaza,Fort Lee,"177 Main Street, Fort Lee",0.23,71.31
park,Fort Lee Park,Fort Lee,"183 Main Street, Fort Lee",0.26,71.31
park,Fort Lee Commons,Fort Lee,"229 Main Street, Fort Lee",0.36,71.31
restaurant,Baggios,Fort Lee,"212 Main Street, Fort Lee",0.33,71.3
park,"Fort Lee Historic Park, Palisades Interstate Park Commission",Fort Lee,"Hudson Terrace, Fort Lee",0.11,71.28
restaurant,Eggty 8 Cafe,Fort Lee,"140 Main Street, Fort Lee",0.15,71.28
restaurant,In Napoli Italian Restaurant & Banquet Hall,Fort Lee,"116 Main Street, Fort Lee",0.1,71.27
restaurant,Sa Rit Gol,Fort Lee,"166 Main Street, Fort Lee",0.22,71.27
cafe,Black Cuppy,Fort Lee,"1645 Palisade Avenue 2nd fl, Fort Lee",0.22,71.26
restaurant,So Kong Dong,Fort Lee,"130 Main Street, Fort Lee",0.13,71.26
restaurant,Paris Baguette,Fort Lee,"1635 Lemoine Avenue, Fort Lee",0.32,71.24
restaurant,Cheongsu NJ,Fort Lee,"1644 Parker Avenue, Fort Lee",0.16,71.23
restaurant,Blue Angel Cafe & Bakery,Fort Lee,"1640 Schlosser Street, Fort Lee",0.28,71.23
restaurant,Caffe Bene,Fort Lee,"1636 Palisade Avenue, Fort Lee",0.18,71.21
restaurant,Menya Sandaime,Fort Lee,"1638 Parker Avenue, Fort Lee",0.16,71.21
park,Hudson River Park entrance,Edgewater,"32 Shore Road, Edgewater",0.12,71.07
restaurant,Dong Bang,Fort Lee,"1616 Palisade Avenue, Fort Lee",0.2,71.04
restaurant,Starbucks,Fort Lee,"Whitman Plaza, 1605 Lemoine Avenue, Fort Lee",0.29,71.03
restaurant,7-Eleven,Fort Lee,"1605 Lemoine Avenue, Fort Lee",0.29,71.03
restaurant,BCD Tofu House,Fort Lee,"1640 Schlosser Street #C1, Fort Lee",0.28,71.03
restaurant,Nova Pizza,Fort Lee,"1605 Lemoine Avenue, Fort Lee",0.29,71.03
restaurant,It's Greek To Me,Fort Lee,"1611 Palisade Avenue, Fort Lee",0.22,71.03
park,Monument Park,Fort Lee,"Palisade Ave &, Angioletti Place, Fort Lee",0.18,71.03
restaurant,Gamja TangTang,Fort Lee,"1638 Schlosser Street d5, Fort Lee",0.27,71.03
restaurant,Soup Dumpling Plus,Fort Lee,"1550 Lemoine Avenue #109, Fort Lee",0.23,71.01
park,Firemen's Park,Fort Lee,"272 Whiteman Street, Fort Lee",0.4,71.01
park,Fort Lee Police Memorial Square,Fort Lee,"279-285 Riverdale Drive, Fort Lee",0.44,70.85
restaurant,The River Palm Terrace,Edgewater,"1416 River Road, Edgewater",0.01,70.68
restaurant,7-Eleven,Fort Lee,"1412 Bergen Boulevard, Fort Lee",0.94,70.61
restaurant,Dupan Bakery,Fort Lee,"1369 16th Street, Fort Lee",0.6,70.6
park,Whitey Lang Memorial Park,Fort Lee,"1301 Anderson Avenue, Fort Lee",0.55,70.42
restaurant,King Hong,Fort Lee,"1230 Anderson Avenue, Fort Lee",0.57,70.39
restaurant,The Big Red Tomato,Fort Lee,"1205 Anderson Avenue, Fort Lee",0.61,70.38
park,Palisades Park Recreation Area,Edgewater,"676 Undercliff Avenue, Edgewater",0.14,70.29
restaurant,Dunkin',Fort Lee,"1196 Anderson Avenue, Fort Lee",0.58,70.2
park,Freedom Park,Fort Lee,"262 New Jersey 5, Fort Lee",0.51,70.17
park,Veterans Field Park,Edgewater,"1057-1165 River Road, Edgewater",0.11,69.94
park,Columbus Park,Cliffside Park,"785 Anderson Avenue, Cliffside Park",0.65,69.87
park,Scenic viewpoint,Fort Lee,"1 Claremont Road, Fort Lee",0.1,69.86
park,Memorial Park,Edgewater,Edgewater,0.01,69.65
park,Grand Cove Marina,Edgewater,"989 River Road, Edgewater",0.15,69.64
cafe,Ananda Cafe,Edgewater,"982 River Road, Edgewater",0.01,69.59
restaurant,Dunkin',Edgewater,"955 River Road, Edgewater",0.03,69.58
park,Duck Duck Park,Edgewater,"488 Undercliff Avenue, Edgewater",0.14,69.57
restaurant,Villa Amalfi,Cliffside Park,"793 Palisade Avenue, Cliffside Park",0.4,69.5
restaurant,Pelicana Chicken,Edgewater,"10 Dempsey Avenue, Edgewater",0.02,69.48
restaurant,D'avant Bakery,Edgewater,"935 River Road Suite 101, Edgewater",0.03,69.47
park,Edgewater Kiddie Park,Edgewater,Edgewater,0.01,69.44
restaurant,Dunkin',Cliffside Park,"738 Anderson Avenue, Cliffside Park",0.66,69.43
park,Edgewater Dog Park,Edgewater,"Unnamed Road, Edgewater",0.09,69.42
restaurant,The Great Burrito,Edgewater,"10 Hilliard Avenue, Edgewater",0.03,69.41
park,Palisades Amusement Park: The Little Park of Memories,Cliffside Park,Cliffside Park,0.37,69.39
bike_shop,Trek Bicycle Edgewater,Edgewater,"14 Edgewater Towne Center Unit 3A, Edgewater",0.05,69.37
cafe,Baklava Home Edgewater,Edgewater,"880 River Road no 102, Edgewater",0.02,69.36
restaurant,Brother's Pizzeria & Restaurant,Edgewater,"880 River Road, Edgewater",0.03,69.36
restaurant,WFM Coffee Bar,Edgewater,"905 River Road, Edgewater",0.04,69.34
restaurant,Juice & Smoothie Bar,Edgewater,"Edgewater Towne Center, Edgewater",0.04,69.33
restaurant,Papa Johns Pizza,Cliffside Park,"721 Anderson Avenue, Cliffside Park",0.68,69.29
restaurant,"Brownstone Pancake Factory (Edgewater, NJ)",Edgewater,"860 River Road, Edgewater",0.01,69.29
restaurant,Cafe Piecebook,Cliffside Park,"718 Anderson Avenue, Cliffside Park",0.66,69.28
park,Cliffside Park,Cliffside Park,Cliffside Park,0.65,69.28
restaurant,Miller's Bakery,Cliffside Park,"716 Anderson Avenue, Cliffside Park",0.65,69.27
restaurant,Juan Dulce Desserts LLC,Cliffside Park,"708 Anderson Avenue, Cliffside Park",0.65,69.27
restaurant,Yum Yum Bagel & Cafe,Cliffside Park,"677 Anderson Avenue, Cliffside Park",0.66,69.27
restaurant,Istanbul Borek & Kebab,Cliffside Park,"360 Lawton Avenue, Cliffside Park",0.69,69.27
restaurant,Aleria Bakery and Cafe,Cliffside Park,"672 Anderson Avenue, Cliffside Park",0.64,69.26
cafe,Aegean Café and Breakfast,Cliffside Park,"672 Anderson Avenue, Cliffside Park",0.64,69.26
restaurant,Marathon Sushi,Cliffside Park,"661 Anderson Avenue, Cliffside Park",0.66,69.24
restaurant,Santo Cafe,Cliffside Park,"656 Anderson Avenue, Cliffside Park",0.64,69.2
restaurant,Nefista Cig Kofte (LeyRa Chocolate),Cliffside Park,"656 Anderson Avenue, Cliffside Park",0.64,69.2
restaurant,7-Eleven,Cliffside Park,"645 Palisade Avenue, Cliffside Park",0.45,69.05
restaurant,Güllüoğlu Baklava & Cafe,Cliffside Park,"611 Anderson Avenue, Cliffside Park",0.64,69.04
restaurant,"Китайски ресторант ""Малкото Суджоу""",Cliffside Park,"607 Gorge Road, Cliffside Park",0.6,69.04
restaurant,John's Fried Chicken,Cliffside Park,"613 Anderson Avenue, Cliffside Park",0.64,69.04
water,365 IV Drips,Edgewater,"725 River Rd Suite #213, Edgewater",0.02,68.97
restaurant,Kuppi Coffee Company,Edgewater,"725 River Road Suite 47, Edgewater",0.09,68.93
restaurant,Pizza Club,Edgewater,"725 River Road, Edgewater",0.08,68.91
restaurant,EDGEWATER SGD TOFU & BBQ,Edgewater,"725 River Road #45, Edgewater",0.09,68.91
restaurant,Paris Baguette,Edgewater,"725 River Road Spaces C & D, Edgewater",0.09,68.88
